Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
INDIE,2023,8,0.85,391.31,0.0,0.0,0.0,0.0,0.85,391.31
OMNI,2023,8,0.77,25.2,0.0,0.0,0.0,0.0,0.77,25.2
AU Small Finance Bank App,2023,8,0.71,218.16,0.0,0.0,0.0,0.0,0.71,218.16
GoKiwi,2023,8,0.69,69.86,0.0,0.0,0.0,0.0,0.69,69.86
Karnataka Bank App,2023,8,0.65,127.83,0.0,0.0,0.0,0.0,0.65,127.83
DBS Bank Apps,2023,8,0.46,173.89,0.0,0.0,0.0,0.18,0.46,174.06
Central Bank of India App,2023,8,0.45,96.12,0.0,0.0,0.0,0.29,0.45,96.41
UCO Bank App,2023,8,0.38,132.77,0.0,0.0,0.0,0.0,0.38,132.77
Indian Bank App,2023,8,0.33,88.52,0.0,0.0,0.0,3.17,0.33,91.69
Bank of India App,2023,8,0.29,85.09,0.0,0.0,0.0,0.0,0.29,85.09
South Indian Bank App,2023,8,0.28,77.42,0.0,0.0,0.0,0.0,0.28,77.42
Fino Payments Bank App,2023,8,0.21,15.43,0.0,0.0,0.0,0.0,0.21,15.43
HSBC Bank App,2023,8,0.17,98.09,0.0,0.1,0.0,0.0,0.17,98.19
BPAYWALLET,2023,8,0.15,32.07,0.0,0.0,0.0,0.0,0.15,32.07
