Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
IDBI Bank App,2024,11,0.08,30.01,0.0,0.0,0.0,0.0,0.08,30.01
Ultracash,2024,11,0.08,5.71,0.0,0.0,0.0,0.0,0.08,5.71
NSDL Payments Bank App,2024,11,0.08,9.73,0.0,0.0,0.0,0.0,0.08,9.73
City Union Bank App,2024,11,0.07,26.24,0.0,0.0,0.0,0.0,0.07,26.24
Bharat Pe,2024,11,0.07,8.29,0.0,0.0,0.0,0.0,0.07,8.29
Tamilnad Mercantile Bank Apps,2024,11,0.07,23.33,0.0,0.0,0.0,0.0,0.07,23.33
Salary Se #,2024,11,0.07,3.75,0.0,0.0,0.0,0.0,0.07,3.75
Genwise #,2024,11,0.06,22.84,0.0,0.0,0.0,0.0,0.06,22.84
Karur Vysya Bank App,2024,11,0.05,17.82,0.0,0.0,0.0,0.0,0.05,17.82
Equitas Small Apps,2024,11,0.03,25.69,0.0,0.0,0.0,0.0,0.03,25.69
Freo #,2024,11,0.03,1.8,0.0,0.0,0.0,0.0,0.03,1.8
Cheq,2024,11,0.03,1.84,0.0,0.0,0.0,0.0,0.03,1.84
Money View #,2024,11,0.02,2.77,0.0,0.0,0.0,0.0,0.02,2.77
Punjab Sindh Bank App,2024,11,0.02,10.76,0.0,0.0,0.0,0.0,0.02,10.76
Spice Money,2024,11,0.02,2.73,0.0,0.0,0.0,0.0,0.02,2.73
Kredit.Pe #,2024,11,0.02,2.67,0.0,0.0,0.0,0.0,0.02,2.67
Others,2024,11,1.52,219.56,0.0,0.0,0.13,5.62,1.65,225.18
Airtel Payments Bank Apps,2022,10,9.44,775.04,,,0.0,0.0,9.44,775.19
Allahabad Bank App,2022,10,0.03,9.33,,,,,0.03,9.33
Amazon Pay,2022,10,56.42,6060.5,,,,,56.42,6060.5
AU Small Finance Bank App,2022,10,0.54,161.99,,,,,0.54,161.99
Axis Bank Apps,2022,10,7.83,1502.28,52.13,51.48,0.03,2.09,59.99,1555.84
Bajaj Finserv,2022,10,4.12,472.71,,,,,4.12,472.71
Bank of Baroda Apps,2022,10,1.23,466.23,,,0.0,0.0,1.23,466.23
Bank of India App,2022,10,0.2,59.97,,,,,0.2,59.97
Bank of Maharashtra App,2022,10,0.07,20.1,,,,,0.07,20.1
BHIM,2022,10,25.49,8523.17,,,,,25.49,8523.17
Canara Bank App,2022,10,0.81,219.07,,,,,0.81,219.07
Central Bank of India App,2022,10,0.3,71.64,,,0.0,0.02,0.3,71.66
Citi Bank App,2022,10,0.09,66.83,,,0.0,0.0,0.09,66.83
City Union Bank App,2022,10,0.04,12.85,,,,,0.04,12.85
Cointab,2022,10,0.03,11.67,,,,,0.03,11.67
Cred,2022,10,21.28,20259.7,,,,,21.28,20259.7
DBS Bank Apps,2022,10,0.43,179.26,,,0.0,0.0,0.43,179.26
Deutsche Bank App,2022,10,1.25,111.93,,,0.0,0.01,1.26,111.93
Dhanlaxmi Bank App,2022,10,0.01,3.21,,,,,0.01,3.21
Equitas Small Apps,2022,10,0.02,8.28,,,,,0.02,8.28
FamApp by Trio,2022,10,4.06,56.79,,,0.0,0.01,4.06,56.79
Fave,2022,10,0.04,2.53,,,,,0.04,2.53
Federal Bank App,2022,10,4.19,574.92,,,0.0,0.0,4.19,574.92
Fino Payments Bank App,2022,10,0.09,6.46,,,,,0.09,6.46
GoIbibo,2022,10,0.01,1.84,,,,,0.01,1.84
Google Pay,2022,10,2496.42,420978.38,,,,,2496.42,420978.38
HDFC Bank Apps,2022,10,11.96,2997.27,,,0.0,0.03,11.96,2997.29
HSBC Bank App,2022,10,0.14,77.42,0.0,0.38,0.0,0.0,0.14,77.8
ICICI Bank Apps,2022,10,31.22,8073.99,5.04,381.41,5.34,6074.12,41.61,14529.52
IDBI Bank App,2022,10,0.06,25.92,,,,,0.06,25.92
IDFC First Bank Apps,2022,10,9.98,888.44,,,0.0,0.0,9.98,888.45
India Post Payments Bank App,2022,10,4.7,630.43,,,,,4.7,630.43
Indian Bank App,2022,10,0.23,68.97,,,,,0.23,68.97
Indian Overseas Bank Apps,2022,10,0.01,4.72,,,,,0.01,4.72
INDIE,2022,10,1.15,1516.68,,,,,1.15,1516.68
Janta Sahakari Bank App,2022,10,0.01,4.8,,,,,0.01,4.8
Jio Payments Bank App,2022,10,1.38,98.87,,,,,1.38,98.87
Jupiter Money,2022,10,2.18,280.43,,,,,2.18,280.43
Karnataka Bank App,2022,10,0.43,76.62,,,,,0.43,76.62
Karur Vysya Bank App,2022,10,0.04,17.62,,,,,0.04,17.62
Kotak Mahindra Bank Apps,2022,10,11.46,2426.65,,,0.0,0.0,11.46,2426.65
MakeMyTrip,2022,10,0.07,31.85,,,,,0.07,31.85
Mobikwik,2022,10,3.28,708.12,,,,,3.28,708.12
NSDL Payments Bank App,2022,10,0.02,3.13,,,,,0.02,3.13
Paytm,2022,10,995.34,112062.51,4.9,14.36,0.43,541.32,1109.6,133620.54
PhonePe,2022,10,3452.87,593759.02,,,,,3452.87,593759.02
Punjab National Bank App,2022,10,0.15,62.77,,,,,0.15,62.77
Punjab Sindh Bank App,2022,10,0.02,8.05,,,,,0.02,8.05
RBL Bank App,2022,10,1.07,243.44,0.0,0.01,0.01,1.71,1.08,245.16
Samsung Pay,2022,10,5.09,554.33,,,,,5.09,554.33
South Indian Bank App,2022,10,0.19,58.2,,,,,0.19,58.2
Standard Chartered Bank App,2022,10,0.15,86.63,0.07,2.29,,,0.22,88.92
SBI Bank Apps,2022,10,4.1,1936.72,,,0.0,0.01,4.1,1936.72
Tamilnad Mercantile Bank Apps,2022,10,0.06,9.81,,,,,0.06,9.81
TataNeu,2022,10,0.14,18.3,,,,,0.14,18.3
TJSB Bank Apps,2022,10,0.01,1.86,,,,,0.01,1.86
UCO Bank App,2022,10,0.28,80.38,,,,,0.28,80.38
Ultracash,2022,10,0.02,0.24,,,,,0.02,0.24
Union Bank Apps,2022,10,0.82,290.75,,,,,0.82,290.75
Utkarsh Small Finance Bank,2022,10,0.02,6.31,,,,,0.02,6.31
WhatsApp,2022,10,8.38,708.56,,,,,8.38,708.56
Yes Bank Apps,2022,10,55.43,15984.43,,,0.52,86.46,55.94,16070.88
Others,2022,10,0.02,5.87,,,,,0.02,5.87
Airtel Payments Bank Apps,2023,10,11.32,778.26,0.0,0.0,0.0,0.0,11.62,810.65
Allahabad Bank App,2023,10,0.03,7.3,0.0,0.0,0.0,0.0,0.03,7.3
Amazon Pay,2023,10,54.39,6297.17,0.0,0.0,0.0,0.0,54.39,6297.17
AU Small Finance Bank App,2023,10,0.71,235.99,0.0,0.0,0.0,0.0,0.71,235.99
Axis Bank Apps,2023,10,12.1,2202.41,62.24,2721.47,0.08,7.63,74.42,4931.5
Bajaj Finserv,2023,10,14.19,2373.17,0.0,0.0,0.0,0.0,14.19,2373.17
Bajaj Finserv,2023,10,0.23,48.79,0.0,0.0,0.0,0.0,0.23,48.79
Bank of Baroda Apps,2023,10,0.93,393.21,0.0,0.0,0.0,4.28,0.93,397.49
Bank of India App,2023,10,0.27,93.46,0.0,0.0,0.0,0.0,0.27,93.46
Bank of Maharashtra App,2023,10,0.06,10.85,0.0,0.0,0.0,0.0,0.06,10.85
BHIM,2023,10,25.74,8174.71,0.0,0.0,0.0,0.0,25.74,8174.71
Canara Bank App,2023,10,2.21,665.24,0.0,0.0,0.01,0.19,2.22,665.43
Central Bank of India App,2023,10,0.52,114.69,0.0,0.0,0.0,0.24,0.52,114.94
Citi Bank App,2023,10,0.08,66.07,0.0,0.0,0.0,0.0,0.08,66.07
City Union Bank App,2023,10,0.07,21.55,0.0,0.0,0.0,0.0,0.07,21.55
Cred,2023,10,94.52,34691.49,0.0,0.0,0.0,0.0,94.52,34691.49
DBS Bank Apps,2023,10,0.5,197.14,0.0,0.0,0.0,0.56,0.51,197.7
Deutsche Bank App,2023,10,2.37,350.45,0.0,0.0,0.0,0.02,2.37,350.47
Dhani,2023,10,0.02,1.49,0.0,0.0,0.0,0.0,0.02,1.49
Digikhata,2023,10,0.04,15.33,0.0,0.0,0.0,0.0,0.04,15.33
Equitas Small Apps,2023,10,0.03,21.65,0.0,0.0,0.0,0.0,0.03,21.65
FamApp by Trio,2023,10,27.54,314.13,0.0,0.0,0.0,0.0,27.54,314.13
Fave,2023,10,0.11,10.38,0.0,0.0,0.0,0.0,0.11,10.38
Federal Bank App,2023,10,5.89,720.68,0.0,0.0,0.0,0.0,5.89,720.68
Fino Payments Bank App,2023,10,0.27,20.01,0.0,0.0,0.0,0.0,0.27,20.01
GoKiwi,2023,10,0.76,79.21,0.0,0.0,0.0,0.0,0.76,79.21
Google Pay,2023,10,4139.92,589299.18,0.0,0.0,0.0,0.0,4139.92,589299.18
Groww,2023,10,5.89,3354.83,0.0,0.0,0.0,0.0,5.89,3354.83
HDFC Bank Apps,2023,10,21.35,5453.76,0.0,0.0,0.0,0.0,21.35,5453.76
HSBC Bank App,2023,10,0.18,105.98,0.0,0.08,0.0,0.0,0.18,106.07
ICICI Bank Apps,2023,10,27.54,11273.3,4.82,437.19,6.52,9607.29,38.88,21317.78
IDBI Bank App,2023,10,0.07,36.89,0.0,0.0,0.0,0.0,0.07,36.89
IDFC First Bank Apps,2023,10,5.26,1312.45,0.0,0.0,0.0,0.01,5.26,1312.46
India Post Payments Bank App,2023,10,5.54,464.95,0.0,0.0,0.0,0.0,5.54,464.95
Indian Bank App,2023,10,0.36,90.37,0.0,0.0,0.0,20.56,0.36,110.93
Indian Overseas Bank Apps,2023,10,0.09,23.85,0.0,0.0,0.0,0.0,0.09,23.85
INDIE,2023,10,1.07,217.98,0.0,0.0,0.0,0.0,1.07,217.98
Jammu and Kashmir Bank App,2023,10,0.01,3.39,0.0,0.0,0.0,0.0,0.01,3.39
Jio Payments Bank App,2023,10,1.35,112.84,0.0,0.0,0.0,0.0,1.35,112.84
Jupiter Money,2023,10,4.45,571.06,0.0,0.0,0.0,0.0,4.45,571.06
Karnataka Bank App,2023,10,0.69,138.58,0.0,0.0,0.0,0.0,0.69,138.58
Karur Vysya Bank App,2023,10,0.04,16.95,0.0,0.0,0.0,0.0,0.04,16.95
Kotak Mahindra Bank Apps,2023,10,23.83,4205.76,0.0,0.0,0.0,0.0,23.83,4205.77
MakeMyTrip,2023,10,0.04,21.47,0.0,0.0,0.0,0.0,0.04,21.47
Mobikwik,2023,10,4.43,1378.88,0.0,0.0,0.0,0.0,4.43,1378.88
Mobikwik,2023,10,0.02,2.15,0.0,0.0,0.0,0.0,0.02,2.15
Navi,2023,10,0.53,33.92,0.0,0.0,0.0,0.0,0.53,33.92
NSDL Payments Bank App,2023,10,0.04,5.79,0.0,0.0,0.0,0.0,0.04,5.79
OMNI,2023,10,1.2,45.9,0.0,0.0,0.0,0.0,1.2,45.9
Paytm,2023,10,1417.81,167819.3,3.36,6.88,0.74,1244.89,1544.41,192974.8
PhonePe,2023,10,5337.96,838371.7,0.0,0.0,0.0,0.0,5337.96,838371.7
Punjab National Bank App,2023,10,0.99,211.45,0.0,0.0,0.0,0.0,0.99,211.45
Punjab Sindh Bank App,2023,10,0.03,12.94,0.0,0.0,0.0,0.0,0.03,12.94
RBL Bank App,2023,10,1.87,642.63,0.0,0.02,0.27,16.09,2.14,658.74
Samsung Pay,2023,10,6.17,562.28,0.0,0.0,0.0,0.0,6.17,562.28
Shriram One,2023,10,0.15,9.43,0.0,0.0,0.0,0.0,0.15,9.43
Slice,2023,10,1.33,340.4,0.0,0.0,0.0,0.0,1.33,340.4
Slice,2023,10,0.33,18.41,0.0,0.0,0.0,0.0,0.33,18.41
South Indian Bank App,2023,10,0.22,69.36,0.0,0.0,0.0,0.0,0.22,69.36
Standard Chartered Bank App,2023,10,4.41,240.59,0.0,0.0,2.61,1462.0,7.02,1702.59
SBI Bank Apps,2023,10,5.51,2185.45,0.0,0.0,0.02,0.6,5.53,2186.05
Tamilnad Mercantile Bank Apps,2023,10,0.1,29.14,0.0,0.0,0.0,0.0,0.1,29.14
TataNeu,2023,10,0.09,14.51,0.0,0.0,0.0,0.0,0.09,14.51
UCO Bank App,2023,10,0.28,85.33,0.0,0.0,0.0,0.0,0.28,85.33
Ultracash,2023,10,0.09,5.6,0.0,0.0,0.0,0.0,0.09,5.6
Union Bank Apps,2023,10,0.89,360.41,0.0,0.0,0.0,0.0,0.89,360.42
Utkarsh Small Finance Bank,2023,10,0.02,7.44,0.0,0.0,0.0,0.0,0.02,7.44
WhatsApp,2023,10,22.72,1903.1,0.0,0.0,0.0,0.0,22.72,1903.1
Yes Bank Apps,2023,10,27.97,11183.85,0.0,0.0,0.3,75.25,28.27,11259.1
Others,2023,10,0.06,14.29,0.0,0.0,0.0,0.0,0.06,14.29
PhonePe,2024,10,7905.54,1169290.03,0.0,0.0,0.0,0.0,7905.54,1169290.03
Google Pay,2024,10,6201.81,849327.38,0.0,0.0,0.0,0.0,6201.81,849327.38
Paytm,2024,10,1165.01,129584.98,0.0,0.0,0.0,0.0,1165.01,129584.98
Navi,2024,10,157.51,8841.9,0.0,0.0,0.0,0.0,157.51,8841.9
Cred,2024,10,152.28,55202.12,0.0,0.0,0.0,0.0,152.28,55202.12
Axis Bank Apps,2024,10,21.97,4527.19,117.7,2300.48,0.01,1.86,139.68,6829.53
Amazon Pay,2024,10,79.55,9205.72,0.0,0.0,0.0,0.0,79.55,9205.72
FamApp by Trio,2024,10,69.9,825.19,0.0,0.0,0.0,0.0,69.9,825.19
ICICI Bank Apps,2024,10,54.77,20505.95,0.01,10.0,2.76,3171.01,57.54,23686.95
WhatsApp,2024,10,55.07,4137.17,0.0,0.0,0.0,0.0,55.07,4137.17
Kotak Mahindra Bank Apps,2024,10,51.92,7565.22,0.0,0.0,0.0,0.0,51.92,7565.22
super.money #,2024,10,49.68,2167.86,0.0,0.0,0.0,0.0,49.68,2167.86
HDFC Bank Apps,2024,10,39.13,10426.92,0.27,0.39,0.01,0.67,39.41,10427.97
Yes Bank Apps,2024,10,36.37,10230.68,0.0,0.01,0.42,14.79,36.79,10245.47
BHIM,2024,10,29.9,10170.6,0.0,0.0,0.0,0.0,29.9,10170.6
Airtel Payments Bank Apps,2024,10,20.03,1504.27,0.0,0.0,0.0,0.08,20.03,1504.36
Mobikwik,2024,10,17.2,2995.42,0.0,0.0,0.0,0.0,17.2,2995.42
Groww,2024,10,15.35,11862.09,0.0,0.0,0.0,0.0,15.35,11862.09
Flipkart UPI,2024,10,14.62,825.95,0.0,0.0,0.0,0.0,14.62,825.95
Slice,2024,10,12.19,907.37,0.0,0.0,0.0,0.0,12.19,907.37
SBI Bank Apps,2024,10,11.73,3527.88,0.0,0.0,0.0,0.0,11.73,3527.88
Bajaj Finserv,2024,10,10.66,2330.26,0.0,0.0,0.0,0.0,10.66,2330.26
India Post Payments Bank App,2024,10,10.11,1507.56,0.0,0.0,0.0,0.0,10.11,1507.56
IDFC First Bank Apps,2024,10,9.32,2162.46,0.0,0.0,0.0,0.39,9.33,2162.85
Samsung Pay,2024,10,8.56,664.7,0.0,0.0,0.0,0.0,8.56,664.7
Jupiter Money,2024,10,6.36,873.89,0.0,0.0,0.0,0.0,6.36,873.89
Fi Money #,2024,10,3.44,421.4,0.0,0.0,0.0,0.0,3.44,421.4
Punjab National Bank App,2024,10,3.31,785.24,0.0,0.0,0.0,0.0,3.31,785.24
Canara Bank App,2024,10,3.27,898.89,0.0,0.0,0.0,0.0,3.27,898.89
Jio Payments Bank App,2024,10,3.23,269.69,0.0,0.0,0.0,0.0,3.23,269.69
Indian Bank App,2024,10,3.11,513.43,0.0,0.0,0.0,0.0,3.11,513.43
Federal Bank App,2024,10,2.96,542.57,0.0,0.0,0.0,0.0,2.96,542.57
Pop Club,2024,10,2.93,209.84,0.0,0.0,0.0,0.0,2.93,209.84
RBL Bank App,2024,10,2.85,718.17,0.0,0.01,0.03,4.97,2.88,723.15
Deutsche Bank App,2024,10,2.58,395.26,0.0,0.0,0.0,0.06,2.58,395.32
Timepay,2024,10,2.15,18.6,0.0,0.0,0.0,0.0,2.15,18.6
OMNI,2024,10,1.49,96.52,0.0,0.0,0.0,0.0,1.49,96.52
Bank of Baroda Apps,2024,10,1.16,499.63,0.0,0.0,0.0,0.0,1.16,499.63
Central Bank of India App,2024,10,1.11,219.02,0.0,0.0,0.0,0.0,1.11,219.02
Aditya Birla Capital Digital,2024,10,0.97,37.97,0.0,0.0,0.0,0.0,0.97,37.97
Jammu and Kashmir Bank App,2024,10,0.83,144.0,0.0,0.0,0.0,0.0,0.83,144.0
Union Bank Apps,2024,10,0.8,282.02,0.0,0.0,0.0,0.0,0.8,282.02
HSBC Bank App,2024,10,0.68,179.22,0.0,0.12,0.0,0.01,0.68,179.35
South Indian Bank App,2024,10,0.61,179.8,0.0,0.0,0.0,0.0,0.61,179.8
DBS Bank Apps,2024,10,0.61,213.96,0.0,0.0,0.0,0.86,0.61,214.82
Fino Payments Bank App,2024,10,0.58,70.11,0.0,0.0,0.0,0.0,0.58,70.11
AU Small Finance Bank App,2024,10,0.49,146.98,0.0,0.0,0.0,0.0,0.49,146.98
Shriram One,2024,10,0.47,47.25,0.0,0.0,0.0,0.0,0.47,47.25
Digikhata,2024,10,0.46,166.18,0.0,0.0,0.0,0.0,0.46,166.18
GoKiwi,2024,10,0.41,66.74,0.0,0.0,0.0,0.0,0.41,66.74
INDIE,2024,10,0.36,91.48,0.0,0.0,0.01,1.81,0.36,93.29
UCO Bank App,2024,10,0.31,77.02,0.0,0.0,0.0,0.0,0.31,77.02
TataNeu,2024,10,0.31,74.8,0.0,0.0,0.0,0.0,0.31,74.8
One Card #,2024,10,0.29,261.08,0.0,0.0,0.0,0.0,0.29,261.08
Suryoday,2024,10,0.26,0.05,0.0,0.0,0.0,0.0,0.26,0.05
Bank of India App,2024,10,0.2,45.85,0.0,0.0,0.0,0.0,0.2,45.85
Indian Overseas Bank Apps,2024,10,0.2,56.07,0.0,0.0,0.0,0.0,0.2,56.07
Standard Chartered Bank App,2024,10,0.2,131.76,0.0,0.0,0.0,0.07,0.2,131.83
Karnataka Bank App,2024,10,0.16,34.88,0.0,0.0,0.0,0.0,0.16,34.88
Dhani,2024,10,0.13,14.62,0.0,0.0,0.0,0.0,0.13,14.62
True Balance,2024,10,0.13,16.51,0.0,0.0,0.0,0.0,0.13,16.51
Niyo Global,2024,10,0.1,55.57,0.0,0.0,0.0,0.0,0.1,55.57
NSDL Payments Bank App,2024,10,0.09,12.1,0.0,0.0,0.0,0.0,0.09,12.1
Ultracash,2024,10,0.09,5.94,0.0,0.0,0.0,0.0,0.09,5.94
Rapipay,2024,10,0.08,11.38,0.0,0.0,0.0,0.0,0.08,11.38
City Union Bank App,2024,10,0.08,29.97,0.0,0.0,0.0,0.0,0.08,29.97
IDBI Bank App,2024,10,0.08,29.72,0.0,0.0,0.0,0.0,0.08,29.72
Tamilnad Mercantile Bank Apps,2024,10,0.07,24.55,0.0,0.0,0.0,0.0,0.07,24.55
Salary Se #,2024,10,0.07,3.95,0.0,0.0,0.0,0.0,0.07,3.95
ESAF Small Finance Bank Apps,2024,10,0.06,8.57,0.0,0.0,0.0,0.0,0.06,8.57
Bharat Pe,2024,10,0.05,7.27,0.0,0.0,0.0,0.0,0.05,7.27
Freo #,2024,10,0.05,2.7,0.0,0.0,0.0,0.0,0.05,2.7
Karur Vysya Bank App,2024,10,0.05,18.4,0.0,0.0,0.0,0.0,0.05,18.4
Equitas Small Apps,2024,10,0.04,29.7,0.0,0.0,0.0,0.0,0.04,29.7
Punjab Sindh Bank App,2024,10,0.03,16.46,0.0,0.0,0.0,0.0,0.03,16.46
Cheq,2024,10,0.02,1.62,0.0,0.0,0.0,0.0,0.02,1.62
Others,2024,10,1.63,219.31,0.0,0.0,0.13,5.53,1.76,224.84
Airtel Payments Bank Apps,2022,9,9.14,680.76,,,0.0,0.02,9.15,680.89
Allahabad Bank App,2022,9,0.03,8.1,,,,,0.03,8.1
Amazon Pay,2022,9,57.38,6015.31,,,,,57.38,6015.31
AU Small Finance Bank App,2022,9,0.48,148.9,,,,,0.48,148.9
Axis Bank Apps,2022,9,7.46,1421.09,50.24,46.13,0.02,1.85,57.72,1469.07
Bajaj Finserv,2022,9,3.29,234.81,,,,,3.29,234.81
Bajaj Finserv,2022,9,0.01,1.38,,,,,0.01,1.38
Bandhan Bank Apps,2022,9,0.01,1.88,,,,,0.01,1.88
Bank of Baroda Apps,2022,9,1.11,443.84,,,0.0,0.0,1.11,443.85
Bank of India App,2022,9,0.18,54.59,,,,,0.18,54.59
Bank of Maharashtra App,2022,9,0.07,17.23,,,,,0.07,17.23
BHIM,2022,9,25.17,8308.65,,,,,25.17,8308.65
Canara Bank App,2022,9,0.78,207.18,,,0.0,0.0,0.78,207.18
Central Bank of India App,2022,9,0.28,68.37,,,0.0,0.01,0.28,68.38
Citi Bank App,2022,9,0.1,67.0,,,0.0,0.0,0.1,67.0
City Union Bank App,2022,9,0.04,12.45,,,,,0.04,12.45
Cointab,2022,9,0.04,19.35,,,,,0.04,19.35
Cred,2022,9,14.96,19237.92,,,,,14.96,19237.92
DBS Bank Apps,2022,9,0.43,176.91,,,,,0.43,176.91
Deutsche Bank App,2022,9,1.58,98.43,,,0.0,0.01,1.58,98.43
Dhanlaxmi Bank App,2022,9,0.01,2.87,,,,,0.01,2.87
Equitas Small Apps,2022,9,0.02,8.76,,,,,0.02,8.76
Fave,2022,9,0.08,4.4,,,,,0.08,4.4
Federal Bank App,2022,9,3.84,549.95,,,0.0,0.0,3.84,549.95
Fino Payments Bank App,2022,9,0.08,5.66,,,,,0.08,5.66
GoIbibo,2022,9,0.01,3.58,,,,,0.01,3.58
Google Pay,2022,9,2296.14,387996.14,,,,,2296.14,387996.14
Groww,2022,9,0.11,68.03,,,,,0.11,68.03
HDFC Bank Apps,2022,9,10.98,2686.1,,,,,10.98,2686.1
HSBC Bank App,2022,9,0.12,70.14,0.0,0.43,0.0,0.0,0.12,70.56
ICICI Bank Apps,2022,9,26.54,6862.5,4.84,366.84,3.45,3172.47,34.84,10401.81
IDBI Bank App,2022,9,0.05,24.18,,,,,0.05,24.18
IDFC First Bank Apps,2022,9,11.53,824.51,,,0.0,0.01,11.53,824.52
India Post Payments Bank App,2022,9,5.22,572.75,,,,,5.22,572.75
Indian Bank App,2022,9,0.21,63.62,,,0.0,1.96,0.21,65.58
Indian Overseas Bank Apps,2022,9,0.02,4.79,,,,,0.02,4.79
INDIE,2022,9,1.04,1439.51,,,,,1.04,1439.51
Janta Sahakari Bank App,2022,9,0.01,4.42,,,,,0.01,4.42
Jio Payments Bank App,2022,9,1.4,90.36,,,,,1.4,90.36
Jupiter Money,2022,9,2.09,259.71,,,,,2.09,259.71
Karnataka Bank App,2022,9,0.4,63.84,,,,,0.4,63.84
Karur Vysya Bank App,2022,9,0.04,16.74,,,,,0.04,16.74
Kotak Mahindra Bank Apps,2022,9,10.52,2230.6,,,0.0,0.0,10.52,2230.61
MakeMyTrip,2022,9,0.1,47.83,,,,,0.1,47.83
MI Pay,2022,9,0.03,3.87,,,,,0.03,3.87
Mobikwik,2022,9,3.04,632.71,,,,,3.04,632.71
NSDL Payments Bank App,2022,9,0.02,2.79,,,,,0.02,2.79
Paytm,2022,9,924.77,101163.26,2.92,9.55,0.4,489.04,1037.2,120805.34
PhonePe,2022,9,3216.78,549583.77,,,,,3216.78,549583.77
Punjab National Bank App,2022,9,0.13,59.01,,,,,0.13,59.01
Punjab Sindh Bank App,2022,9,0.02,6.88,,,,,0.02,6.88
RBL Bank App,2022,9,0.96,199.7,,,0.03,1.21,0.99,200.91
Samsung Pay,2022,9,4.55,495.89,,,,,4.55,495.89
South Indian Bank App,2022,9,0.17,56.54,,,,,0.17,56.54
Standard Chartered Bank App,2022,9,0.14,78.49,0.0,0.0,0.0,0.01,0.14,78.5
SBI Bank Apps,2022,9,3.57,1818.89,,,,,3.57,1818.89
Tamilnad Mercantile Bank Apps,2022,9,0.06,9.21,,,,,0.06,9.21
TataNeu,2022,9,0.13,17.23,,,,,0.13,17.23
TJSB Bank Apps,2022,9,0.01,2.06,,,,,0.01,2.06
UCO Bank App,2022,9,0.26,75.02,,,,,0.26,75.02
Ultracash,2022,9,0.01,0.7,,,,,0.01,0.7
Union Bank Apps,2022,9,0.55,237.54,,,,,0.55,237.54
Utkarsh Small Finance Bank,2022,9,0.02,5.59,,,,,0.02,5.59
WhatsApp,2022,9,7.43,631.63,,,,,7.43,631.63
Yes Bank Apps,2022,9,60.8,14034.34,,,2.3,2103.46,63.1,16137.8
Others,2022,9,0.01,4.85,,,,,0.01,4.85
PhonePe,2023,9,4972.81,774845.98,0.0,0.0,0.0,0.0,4972.81,774845.98
Google Pay,2023,9,3780.89,541624.06,0.0,0.0,0.0,0.0,3780.89,541624.06
Paytm,2023,9,1333.38,153708.6,3.47,8.06,0.58,935.71,1451.99,176865.46
Cred,2023,9,86.5,31558.2,0.0,0.0,0.0,0.0,86.5,31558.2
Axis Bank Apps,2023,9,8.93,1721.75,59.77,1856.5,0.06,6.66,68.76,3584.91
Amazon Pay,2023,9,48.78,5386.29,0.0,0.0,0.0,0.0,48.78,5386.29
ICICI Bank Apps,2023,9,25.9,9874.7,4.05,359.88,7.58,9818.34,37.52,20052.91
Yes Bank Apps,2023,9,28.09,10794.85,0.0,0.0,0.41,53.11,28.49,10847.96
BHIM,2023,9,24.15,8005.18,0.0,0.0,0.0,0.0,24.15,8005.18
FAM,2023,9,22.88,263.37,0.0,0.0,0.0,0.0,22.88,263.37
Kotak Mahindra Bank Apps,2023,9,21.57,3737.25,0.0,0.0,0.0,0.01,21.57,3737.26
WhatsApp,2023,9,20.55,1732.15,0.0,0.0,0.0,0.0,20.55,1732.15
HDFC Bank Apps,2023,9,18.87,4739.38,0.0,0.0,0.0,0.0,18.87,4739.39
Bajaj Finserv,2023,9,14.14,2069.98,0.0,0.0,0.0,0.0,14.14,2069.98
Airtel Payments Bank Apps,2023,9,10.45,747.05,0.0,0.0,0.0,0.04,10.46,747.21
Groww,2023,9,6.5,3596.95,0.0,0.0,0.0,0.0,6.5,3596.95
Samsung Pay,2023,9,5.81,528.2,0.0,0.0,0.0,0.0,5.81,528.2
Federal Bank App,2023,9,5.54,692.03,0.0,0.0,0.0,0.0,5.54,692.03
SBI Bank Apps,2023,9,5.4,2130.26,0.0,0.0,0.02,0.64,5.42,2130.89
India Post Payments Bank App,2023,9,5.28,447.37,0.0,0.0,0.0,0.0,5.28,447.37
IDFC First Bank Apps,2023,9,4.42,1109.67,0.0,0.0,0.0,0.0,4.42,1109.67
Jupiter Money,2023,9,4.05,529.64,0.0,0.0,0.0,0.0,4.05,529.64
Mobikwik,2023,9,3.92,1182.65,0.0,0.0,0.0,0.0,3.92,1182.65
Standard Chartered Bank App,2023,9,1.72,148.27,0.0,0.0,0.31,182.94,2.03,331.21
Deutsche Bank App,2023,9,1.93,315.27,0.0,0.0,0.0,0.02,1.93,315.29
Canara Bank App,2023,9,1.89,569.48,0.0,0.0,0.0,0.0,1.89,569.48
RBL Bank App,2023,9,1.34,565.87,0.0,0.0,0.26,9.74,1.6,575.61
Jio Payments Bank App,2023,9,1.44,108.84,0.0,0.0,0.0,0.0,1.44,108.84
Bank of Baroda Apps,2023,9,1.22,470.91,0.0,0.0,0.0,5.52,1.22,476.43
Slice,2023,9,1.06,310.9,0.0,0.0,0.0,0.0,1.06,310.9
Punjab National Bank App,2023,9,1.0,197.93,0.0,0.0,0.0,0.0,1.0,197.93
OMNI,2023,9,0.98,36.12,0.0,0.0,0.0,0.0,0.98,36.12
INDIE,2023,9,0.89,182.26,0.0,0.0,0.0,0.0,0.89,182.26
